sku,price,qty,discount_percent,tax_percent,scheme_quantity,uom,ptr,mrp,hsn_code
MBPHM02DTABBAYR000005,1,1,,12,,,,,
MBPHM02DTABCIPL000125,1,1,,12,,,,,
MBPHM02DTABCIPL001123,1,1,,12,,,,,
MBPHM02DTABINTA000131,1,1,,12,,,,,
MBPHM02DTABLUPN000124,1,1,,12,,,,,
MBPHM02DTABPFZR000024,1,1,,12,,,,,
MBPHM02DTABSUNP000172,1,1,,12,,,,,
MBPHM02DTABSUNP000185,1,1,,12,,,,,
MBPHM02DTABTORR000186,1,1,,12,,,,,
MBPHM02DTABUSVI000044,1,1,,12,,,,,
MBPHM02DTABUSVI000049,1,1,,12,,,,,
MBPHM02FTABCIPL000146,1,1,,12,,,,,
MBPHM02FTABLUPN000177,1,1,,12,,,,,
MBPHM02FTABMRCK000009,1,1,,12,,,,,
MBPHM02FTABMRCK000011,1,1,,12,,,,,
MBPHM02FTABSUNP000190,1,1,,12,,,,,
MBPHM02FTABSUNP000196,1,1,,12,,,,,
MBPHM02FTABSUNP000205,1,1,,12,,,,,
MBPHM02FTABTORR000197,1,1,,12,,,,,
MBPHM02FTABTORR000206,1,1,,12,,,,,
MBPHM02FTABTORR000215,1,1,,12,,,,,
MBPHM02GTABEMCR000062,1,1,,12,,,,,
MBPHM02GTABJBCP000030,1,1,,12,,,,,
MBPHM02GTABJBCP000034,1,1,,12,,,,,
MBPHM02GTABTORR000234,1,1,,12,,,,,
MBPHM02HTABSNFI000040,1,1,,12,,,,,
MBPHM02HTABSNFI000201,1,1,,12,,,,,
MBPHM02ITABCIPL000167,1,1,,12,,,,,
MBPHM02ITABCIPL000172,1,1,,12,,,,,
MBPHM02ITABCIPL000174,1,1,,12,,,,,
MBPHM02ITABGLNM000050,1,1,,12,,,,,
MBPHM02ITABSNFI000046,1,1,,12,,,,,
MBPHM02ITABSUNP000229,1,1,,12,,,,,
MBPHM02ITABZYDU000151,1,1,,12,,,,,
MBPHM02JTABASZE000019,1,1,,12,,,,,
MBPHM02JTABCIPL000186,1,1,,12,,,,,
MBPHM02JTABDRRD000108,1,1,,12,,,,,
MBPHM02JTABDRRD000113,1,1,,12,,,,,
MBPHM02JTABINTA000218,1,1,,12,,,,,
MBPHM02JTABLUPN000220,1,1,,12,,,,,
MBPHM02JTABLUPN000224,1,1,,12,,,,,
MBPHM02JTABSUNP000235,1,1,,12,,,,,
MBPHM02JTABSUNP000250,1,1,,12,,,,,
MBPHM02JTABSUNP000259,1,1,,12,,,,,
MBPHM02JTABSUNP000275,1,1,,12,,,,,
MBPHM02JTABTORR000282,1,1,,12,,,,,
MBPHM02LTABSNFI000047,1,1,,12,,,,,
MBPHM03BSYPMACL000221,1,1,,12,,,,,
MBPHM03BTABCIPL000336,1,1,,12,,,,,
MBPHM03BTABERIS000122,1,1,,12,,,,,
MBPHM03BTABSAMH000038,1,1,,12,,,,,
MBPHM03CSACCIPL000362,1,1,,12,,,,,
MBPHM04ATABGLXO000042,1,1,,12,,,,,
MBPHM04ATABINTA000288,1,1,,12,,,,,
MBPHM04ATABIPCA000191,1,1,,12,,,,,
MBPHM04ATABJANS000007,1,1,,12,,,,,
MBPHM04ATABJANS000008,1,1,,12,,,,,
MBPHM04ATABMICR000164,1,1,,12,,,,,
MBPHM04ATABSNFI000051,1,1,,12,,,,,
MBPHM04BTABABBT000246,1,1,,12,,,,,
MBPHM04CTABABBT000288,1,1,,12,,,,,
MBPHM04CTABCIPL000392,1,1,,12,,,,,
MBPHM04CTABINTA000315,1,1,,12,,,,,
MBPHM04CTABSUNP000370,1,1,,12,,,,,
MBPHM04CTABSUNP000380,1,1,,12,,,,,
MBPHM04CTABSUNP000385,1,1,,12,,,,,
MBPHM04CTABSUNP000387,1,1,,12,,,,,
MBPHM04CTABZYDU000294,1,1,,12,,,,,
MBPHM04DTABSUNP000446,1,1,,12,,,,,
MBPHM04DTABSUNP000494,1,1,,12,,,,,
MBPHM04DTABTORR000380,1,1,,12,,,,,
MBPHM04DTABTORR000411,1,1,,12,,,,,
MBPHM04GTABSUNP000564,1,1,,12,,,,,
MBPHM02PTABJANS000005,1,1,,12,,,,,
MBPHM03ARESCIPL000278,1,1,,12,,,,,
MBPHM02NINJSAMH000025,1,1,,12,,,,,
MBPHM03ATABZYDU000206,1,1,,12,,,,,
MBPHM04HSYPABBT000344,1,1,,12,,,,,
MBPHM04HTABABBT000330,1,1,,12,,,,,
MBPHM04HTABABBT000335,1,1,,12,,,,,
MBPHM04ITABINTA000592,1,1,,12,,,,,
MBPHM04ITABSNFI000072,1,1,,12,,,,,
MBPHM04ITABTORR000485,1,1,,12,,,,,
MBPHM04ITABTORR000488,1,1,,12,,,,,
MBPHM04ITABTORR000504,1,1,,12,,,,,
MBPHM04JTABINTA000642,1,1,,12,,,,,
MBPHM04KTABABBT000364,1,1,,12,,,,,
MBPHM04KTABINTA000663,1,1,,12,,,,,
MBPHM04MPATZUVE000067,1,1,,12,,,,,
MBPHM04MTABALKM000282,1,1,,12,,,,,
MBPHM04MTABRECK000003,1,1,,12,,,,,
MBPHM03ATABMODI000006,1,1,,12,,,,,
MBPHM04MTABTORR000548,1,1,,12,,,,,
MBPHM04NTABLARN000257,1,1,,12,,,,,
MBPHM05ATABTORR000574,1,1,,12,,,,,
MBPHM05CTABSUNP000735,1,1,,12,,,,,
MBPHM05CTABZYDU000353,1,1,,12,,,,,
MBPHM05DTABSUNP000739,1,1,,12,,,,,
MBPHM06DTABMACL000301,1,1,,12,,,,,
MBPHM06DTABPFZR000074,1,1,,12,,,,,
MBPHM06DTABPFZR000088,1,1,,12,,,,,
MBPHM06DTABPFZR000091,1,1,,12,,,,,
MBPHM06ETABTORR000591,1,1,,12,,,,,
MBPHM08HKITLUPN000514,1,1,,12,,,,,
MBPHM08HTABLUPN000500,1,1,,12,,,,,
MBPHM08HTABLUPN000501,1,1,,12,,,,,
MBPHM08HTABLUPN000541,1,1,,12,,,,,
MBPHM08ITABCIPL000571,1,1,,12,,,,,
MBPHM08JTABALKM000325,1,1,,12,,,,,
MBPHM08JTABALKM000372,1,1,,12,,,,,
MBPHM08JTABFDCL000109,1,1,,12,,,,,
MBPHM08JTABFDCL000118,1,1,,12,,,,,
MBPHM08JTABMANK000231,1,1,,12,,,,,
MBPHM08LTABCIPL000662,1,1,,12,,,,,
MBPHM08LTABCIPL000669,1,1,,12,,,,,
MBPHM08MINJNIRL000001,1,1,,12,,,,,
MBPHM08MTABINTA000805,1,1,,12,,,,,
MBPHM08MTABJBCP000063,1,1,,12,,,,,
MBPHM08MTABSUNP000890,1,1,,12,,,,,
MBPHM08PTABTORR000657,1,1,,12,,,,,
MBPHM08QTABCIPL000751,1,1,,12,,,,,
MBPHM08QTABCIPL000753,1,1,,12,,,,,
MBPHM08QTABCIPL000758,1,1,,12,,,,,
MBPHM08QTABCIPL000761,1,1,,12,,,,,
MBPHM08STABCIPL000777,1,1,,12,,,,,
MBPHM09EINJTORR000875,1,1,,12,,,,,
MBPHM10ATABCIPL000804,1,1,,12,,,,,
MBPHM10DSOLINTA000892,1,1,,12,,,,,
MBPHM10DTABSAMH000062,1,1,,12,,,,,
MBPHM11BTABDRRD000284,1,1,,12,,,,,
MBPHM11BTABINTA000916,1,1,,12,,,,,
MBPHM11BTABMSDP000008,1,1,,12,,,,,
MBPHM11BTABMSDP000011,1,1,,12,,,,,
MBPHM11BTABMSDP000013,1,1,,12,,,,,
MBPHM11BTABSUNP001014,1,1,,12,,,,,
MBPHM11BTABSUNP001072,1,1,,12,,,,,
MBPHM11BTABSUNP001077,1,1,,12,,,,,
MBPHM11BTABUSVI000128,1,1,,12,,,,,
MBPHM11BTABUSVI000150,1,1,,12,,,,,
MBPHM11BTABUSVI000168,1,1,,12,,,,,
MBPHM11BTABUSVI000273,1,1,,12,,,,,
MBPHM11BTABUSVI000289,1,1,,12,,,,,
MBPHM11DTABABBT000567,1,1,,12,,,,,
MBPHM11GTABABBT000580,1,1,,12,,,,,
MBPHM11GTABABBT000588,1,1,,12,,,,,
MBPHM12ATABTORR000753,1,1,,12,,,,,
MBPHM12BTABTORR000756,1,1,,12,,,,,
MBPHM12CTABABBT000600,1,1,,12,,,,,
MBPHM12FCAPMRCK000084,1,1,,12,,,,,
MBPHM08ITABCIPL000613,1,1,,12,,,,,
MBPHM12GTABABBT000638,1,1,,12,,,,,
MBPHM12GTABALKM000544,1,1,,12,,,,,
MBPHM12GTABTORR000769,1,1,,12,,,,,
MBPHM13BSOLCIPL000935,1,1,,12,,,,,
MBPHM13CPOWFRES000029,1,1,,12,,,,,
MBPHM13DPOWNEST000007,1,1,,12,,,,,
MBPHM13FSYPDRRD000346,1,1,,12,,,,,
MBPHM13FTABABBT000691,1,1,,12,,,,,
MBPHM13FTABLARN000235,1,1,,12,,,,,
MBPHM13FTABMANK000356,1,1,,12,,,,,
MBPHM13FTABPHRM000073,1,1,,12,,,,,
MBPHM13FTABPIRA000018,1,1,,12,,,,,
MBPHM13FTABWOCK000209,1,1,,12,,,,,
MBPHM14ADRPSUNP001179,1,1,,12,,,,,
MBPHM14ATABPFZR000169,1,1,,12,,,,,
MBPHM14BTABMANK000360,1,1,,12,,,,,
MBPHM14HDRPALGN000012,1,1,,12,,,,,
MBPHM14HDRPFDCL000247,1,1,,12,,,,,
MBPHM15DGELRAPT000059,1,1,,12,,,,,
MBPHM16HOINGLXO000149,1,1,,12,,,,,
MBPHM16HPOWGLXO000149,1,1,,12,,,,,
MBPHM16MCRMGLNM000366,1,1,,12,,,,,
MBPHM17ADRPFDCL000257,1,1,,12,,,,,
MBPHM17AGELNEON000256,1,1,,12,,,,,
MBPHM18ATABALMB000367,1,1,,12,,,,,
MBPHM18ATABDRRD000437,1,1,,12,,,,,
MBPHM18ATABSNFI000156,1,1,,12,,,,,
MBPHM18BCAPPANA000079,1,1,,12,,,,,
MBPHM18BTABINTA001158,1,1,,12,,,,,
MBPHM18CINJSERU000006,1,1,,12,,,,,
MBPHM20AINJARAV000006,1,1,,12,,,,,
MBPHM20AINJCLRI000009,1,1,,12,,,,,
MBPHM20AINJCLRI000011,1,1,,12,,,,,
MBPHM20AINJCLRI000024,1,1,,12,,,,,
MBPOLY00001,1,1,,12,,,,,
MBROM1012,1,1,,12,,,,,
MBSS0033,1,1,,12,,,,,
MBSS0034,1,1,,12,,,,,
MBSS0035,1,1,,12,,,,,
MBSS0038,1,1,,12,,,,,
MBSS0039,1,1,,12,,,,,
MBSS0040,1,1,,12,,,,,
MBSS0041,1,1,,12,,,,,
MBSS0042,1,1,,12,,,,,
MBSS0043,1,1,,12,,,,,
MBSS0044,1,1,,12,,,,,
MBSS0045,1,1,,12,,,,,
MBSS0046,1,1,,12,,,,,
MBSS0048,1,1,,12,,,,,
MBSS0049,1,1,,12,,,,,
MBSS0050,1,1,,12,,,,,
MBSS0051,1,1,,12,,,,,
MBSS0052,1,1,,12,,,,,
MBSS0053,1,1,,12,,,,,
MBSS0054,1,1,,12,,,,,
MBSS0055,1,1,,12,,,,,
MBSS0056,1,1,,12,,,,,
MBSS0057,1,1,,12,,,,,
MBSS0060,1,1,,12,,,,,
MBSTS0383,1,1,,12,,,,,
MBSTS0385,1,1,,12,,,,,
MBSUCTION002,1,1,,12,,,,,
MBT0001,1,1,,12,,,,,
MBT0003,1,1,,12,,,,,
MBT0004,1,1,,12,,,,,
MBT0005,1,1,,12,,,,,
MBT0006,1,1,,12,,,,,
MBT0008,1,1,,12,,,,,
MBT0009,1,1,,12,,,,,
MBT0010,1,1,,12,,,,,
MBT0011,1,1,,12,,,,,
MBT0012,1,1,,12,,,,,
MBT0013,1,1,,12,,,,,
MBT0014,1,1,,12,,,,,
MBT0015,1,1,,12,,,,,
MBT0016,1,1,,12,,,,,
MBT0017,1,1,,12,,,,,
MBT0018,1,1,,12,,,,,
MBT0019,1,1,,12,,,,,
MBVHB15,1,1,,12,,,,,
MBVIKM2993,1,1,,12,,,,,
MedAMS482,1,1,,12,,,,,
MedAMS483,1,1,,12,,,,,
MedAMS485,1,1,,12,,,,,
MedARK1883,1,1,,12,,,,,
MedDS1928,1,1,,12,,,,,
MedDS272,1,1,,12,,,,,
MedDS827,1,1,,12,,,,,
MedDS829,1,1,,12,,,,,
MedE023,1,1,,12,,,,,
MedE024,1,1,,12,,,,,
MedE026,1,1,,12,,,,,
MedE027,1,1,,12,,,,,
MedE028,1,1,,12,,,,,
MedE029,1,1,,12,,,,,
MedE030,1,1,,12,,,,,
MedG046,1,1,,12,,,,,
MedG047,1,1,,12,,,,,
MedG137,1,1,,12,,,,,
MedHS1008,1,1,,12,,,,,
MedKHG1626,1,1,,12,,,,,
MedMS408,1,1,,12,,,,,
MedMS409,1,1,,12,,,,,
MedO739,1,1,,12,,,,,
MedO740,1,1,,12,,,,,
MedO742,1,1,,12,,,,,
MedO743,1,1,,12,,,,,
MedO744,1,1,,12,,,,,
MedO745,1,1,,12,,,,,
MedO746,1,1,,12,,,,,
MedO747,1,1,,12,,,,,
MedO748,1,1,,12,,,,,
MedO749,1,1,,12,,,,,
MedO750,1,1,,12,,,,,
MedO751,1,1,,12,,,,,
MedO752,1,1,,12,,,,,
MedO753,1,1,,12,,,,,
MedO754,1,1,,12,,,,,
MedO755,1,1,,12,,,,,
MedO756,1,1,,12,,,,,
MedO757,1,1,,12,,,,,
MedO758,1,1,,12,,,,,
MedO759,1,1,,12,,,,,
MedO760,1,1,,12,,,,,
MedO761,1,1,,12,,,,,
MedO762,1,1,,12,,,,,
MedO763,1,1,,12,,,,,
MedO764,1,1,,12,,,,,
MedO765,1,1,,12,,,,,
MedO766,1,1,,12,,,,,
MedO767,1,1,,12,,,,,
MedO768,1,1,,12,,,,,
MedO769,1,1,,12,,,,,
MedO770,1,1,,12,,,,,
MedO771,1,1,,12,,,,,
MedO772,1,1,,12,,,,,
MedO773,1,1,,12,,,,,
MedO774,1,1,,12,,,,,
MedO775,1,1,,12,,,,,
MedO776,1,1,,12,,,,,
MedO777,1,1,,12,,,,,
MedO780,1,1,,12,,,,,
MedO781,1,1,,12,,,,,
MedO782,1,1,,12,,,,,
MedSE059,1,1,,12,,,,,
MedSH846,1,1,,12,,,,,
MedSH847,1,1,,12,,,,,
MedSH848,1,1,,12,,,,,
MedSH849,1,1,,12,,,,,
MedSS1913,1,1,,12,,,,,
MedSS1914,1,1,,12,,,,,
MedSS1918,1,1,,12,,,,,
MedSS284,1,1,,12,,,,,
MedST211,1,1,,12,,,,,
MedVS1860,1,1,,12,,,,,
MedWS1961,1,1,,12,,,,,
MedWS2266,1,1,,12,,,,,
MedZ060,1,1,,12,,,,,
MNKH0050,1,1,,12,,,,,
MNT0007,1,1,,12,,,,,
